id,title,room,likes,dislikes
114549,Kelohonka,G378,29,3
30758,Vor dem Start nach New-York,Not on View,10,2
125771,Untitled,Not on View,20,1
3321,The Death Song of Lone Wolf,G301,3,2
10451,The Sleeping Congregation,G307,10,3
136,Saint Catherine,G340,55,2
10219,Portrait of Paris von Gütersloh,G377,32,1
492,Tankard,Not on View,1,1
17169,Tankard,Not on View,1,1
106831,Off the Coast (Lake Superior),G302,5,1
109118,Masterpiece cup and cover,G350,24,3
120860,The Triumph of Marcus Aurelius,Not on View,1,1
108705,The Destroyer,G301,5,0
9688,"Vase, one of a pair",G310,265,3
20962,Miniature Mask,Not on View,14,2
1372,Landscape with Peasants,G341,2,0
1375,Portrait Bust of Pope Clement X,G310,87,3
2245,Saint John the Baptist,G308,10,3
1670,The Promenades of Euclid,G376,21,2
2241,"Through Birds, Through Fire but Not Through Glass",G376,25,2
1463,"Pope Benedict XIV Presenting the Encyclical ""Ex Omnibus"" to the Comte de Stainville, Later Duc de Choiseul",G307,0,2
31101,"Prellerhaus Balconies, Bauhaus, Dessau",Not on View,16,2
5995,Dining chair,G300,15,0
115966,Cross with a Red Heart,Not on View,5,0
121740,Winter Window,Not on View,5,0
100463,Ehrenbezeugung (Salute and Honor),Not on View,8,5
60752,Cat Mask,Not on View,1,1
1402,Allegory of War,Not on View,11,1
2505,Portrait of a Boy,G304,12,5
1555,Head of a Woman,G376,15,1
27402,Before Mountaineering,Not on View,8,2
2490,Tornado over St. Paul,G303,4,1
12776,Diego,Not on View,13,0
53,Deer in the Forest,G321,9,3
120525,"Cape Trinity, Saguenay River, Moonlight",G323,16,1
22277,Corner cabinet (Encoignure),G314,18,2
5694,Casement window,G300,3,5
120729,The Archangel Saint Michael in Triumph,G350,15,4
1411,Three Bathers,G371,28,0
1665,The Trinity with Souls in Purgatory,Not on View,10,3
1417,The Sunny Room,G351,31,2
593,"Portrait of Sarah Allen, née Sargent",G322,3,5
2900,James J. Hill Presentation Tray,G303,2,3
1325,Carcass of Beef,G377,22,1
40979,Tulip glass (Tulpanglas),G378,16,1
106354,Theta,Not on View,60,0
1487,The Annunciation,G308,16,5
98954,Portrait of Eliza Ann and Adelia Dusenberry,G304,9,4
1263,Theseus Slaying the Centaur Bianor,G303,3,2
113688,Virgin of the Milk (Virgen de la leche),G340,91,3
118808,Ram,G367,12,2
10436,"Grainstack, Sun in the Mist",G355,38,1
10593,The Union of Love and Friendship,G306,17,2
2806,Nymphenburg,G351,24,4
121920,The Barn,G359,17,0
